Day,Ad Creative Name,Spend,Impressions,CPM,Clicks,CTR,CPC,Shares,Comment,Post Reaction,Video Views
1/1/2021,Ad from a Page post 2020-12-28-923d66ddc145a8fdf3a3658f5fb15eee,1089.23,647316,8.91,298,0,0,0,0,0,0
1/1/2021,Ad from a Page post 2020-12-29-eb5dca3e3853fd8f3cfa80bf2550765b,224.72,110730,2.03,68,0,0,0,0,0,0
1/1/2021,Are you ready to join #teamglass? Help save the world one infinitely recyclable glass bottle at a t 2020-12-22-2d3cb4941c79883830a3662b6e4a8f38,101.06,5395,18.73,9,0,0,0,2,1101,0
1/1/2021,Are you ready to join #teamglass? Help save the world one infinitely recyclable glass bottle at a t 2020-12-22-73ed29631abd9ad191bfa02f538e7165,101.07,6254,16.16,51,0,0,5,8,1019,0
1/1/2021,Are you ready to join #teamglass? Help save the world one infinitely recyclable glass bottle at a t 2020-12-22-bf64aca71a8b6324e88ffb2f7876561b,99.43,7582,13.11,52,0.0001,99.43,4,1,764,0
1/1/2021,"By continuing to recycle glass packaging, we’re all helping to keep the beer industry going. Thank  2020-12-23-2d166b74584e229493bdfe21747f4aab",179.37,14616,12.27,97,0,0,2,5,1572,0
1/1/2021,"By continuing to recycle glass packaging, we’re all helping to keep the beer industry going. Thank  2020-12-23-735d90d30253b12e999b9fb1e2228b82",173.73,26417,6.58,795,0,0,28,12,982,0
1/1/2021,"By continuing to recycle glass packaging, we’re all helping to keep the beer industry going. Thank  2020-12-23-8fa521bf64d1410951793f5a1d6fe974",174.01,18979,9.17,1404,0,0,73,33,1794,0
1/1/2021,"By continuing to recycle glass packaging, we’re all helping to keep the beer industry going. Thank  2020-12-23-c98583d902758574fbc6bf0d4cdd64db",171.57,30706,5.59,2074,0,171.57,106,49,1814,0
1/1/2021,No curbside recycling? No worries. Your local drop-off makes glass recycling quick and easy. ♻️ #ch 2020-12-22-da0ba6cf576097648b720012204951a5,106.64,42772,2.49,77,0,0,0,0,252,6459
1/1/2021,No curbside recycling? No worries. Your local drop-off makes glass recycling quick and easy. ♻️ #ch 2020-12-22-fe64d858034868c51cc032cd5d277bbc,103.48,28402,3.64,419,0,0,0,1,11,11260
1/1/2021,Teamwork connects the dots of the glass recycling process. Keep the circle going and #chooseglass. 2020-12-22-5da0be63a39203d17f190e225adde4ec,100.62,31073,3.24,59,0,100.62,0,0,22,7862
1/1/2021,Teamwork connects the dots of the glass recycling process. Keep the circle going and #chooseglass. 2020-12-22-b81e09a5bbd80b0510e23b559b3f97c0,101.14,26056,3.88,56,0,0,0,0,16,6555
1/1/2021,Teamwork connects the dots of the glass recycling process. Keep the circle going and #chooseglass. 2020-12-22-cd79957124d9c3c6aa136fda4c9ae491,99.7,45974,2.17,70,0,0,0,0,47,5912
1/1/2021,"The beer industry is counting on us. The more we choose and recycle glass, the more we can keep *cl 2020-12-24-509f5ffce95ef60940609420b0a34436",106.23,18453,5.76,576,0,0,33,13,1507,0
1/1/2021,"The beer industry is counting on us. The more we choose and recycle glass, the more we can keep *cl 2020-12-24-7fb7f6f94808d4001f042387e06d3eb7",106.62,15257,6.99,334,0,0,34,10,1427,0
1/1/2021,"The beer industry is counting on us. The more we choose and recycle glass, the more we can keep *cl 2020-12-24-cc3f0bf766a41931b783140ebe9f73ed",106.33,10410,10.21,72,0,0,1,0,17,0
1/1/2021,"The beer industry is counting on us. The more we choose and recycle glass, the more we can keep *cl 2020-12-24-d10d562b454d7f72d7d472278756da88",106.76,19704,5.42,16,0,0,0,2,1607,0
