"Day","Platform","Campaign Name","Creative","AssetType","Spend","Likes","Landing PageViews","VideoViews","VideoCompletions","Impressions","LinkClicks","Shares"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:AWR_Obj:Reach_Geo:National_Splinter","Dating Apps","Static","115.42","0","41","0","0","28001","80","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Bad News","Video","2594.24","69","652","18273","9134","188232","951","24"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Best Gift","Video","394.63","3","16","1299","208","19231","30","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Construction","Video","564.21","18","47","3108","677","39518","99","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Convincing A","Static","992.82","51","277","5035","1029","150223","358","27"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Dreams","Video","2313.41","30","651","27759","3824","159092","917","28"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Firefighter","Static","1436.34","121","419","0","0","164952","686","9"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","In 90 Days","Video","407.17","16","47","2941","518","38829","71","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Lullaby","Video","160.94","4","31","642","98","13685","49","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","No Strings","Video","1008.33","10","54","5832","644","61502","141","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Slangry","Video","1036.0","12","93","6791","2501","58512","168","6"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CNV_Obj:Conversions_Geo:National","Therapist","Static","181.86","2","7","0","0","10923","18","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National_MikMak","Retailer A","Video","3699.82","80","1834","22607","7019","217580","11489","15"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National - VVM","Let them know","Video","48.69","5","3","2646","601","6899","22","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National - VVM","Make the most of it","Video","44.01","4","3","2621","525","7593","21","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National - VVM","Pillows","Video","46.0","1","4","2987","662","7125","17","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National - VVM","Wellness","Video","114.61","10","14","5772","1553","18631","61","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","Anxiety Cycle","Static","537.43","4840","23","0","0","31901","91","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","Beauty Rest","Static","344.11","2584","15","0","0","18845","35","5"
